1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1693054902# #男篮世界杯。瞎预测一下吧，中国男篮小组赛三战全败..........
1691376240# #基金超话。随着今年主动偏股基金持续跑输沪深300等宽基指数，据说很多基金公司从产品布局角度来说越来越认为ETF等被动指数型基金会是未来的主流。。我个人不太赞同这种看法，在一定程度上这也是投资中的“近期偏见”所导致的。从“负债决定论”（边际增量资金决定股市场风格）角度来看，在19-20年“
1697347755# #基金超话。国家进一步加强对自媒体的管控措施确有必要，现如今自媒体造谣成本也太低了，正所谓“造谣一张嘴、辟谣跑断腿”。因为葛卫东和葛兰的姓氏一样。然后随手敲几下键盘就说葛卫东和葛兰是亲戚关系，然后就有一堆人点赞转发，谣言就这么被传播开来了，简直离谱！。。很多时候在互联网上传播的并
1695894145# #基金超话。【如果真要“骗客户”，我建议你别用基金骗】。基金的本意是“受人之托代客理财”，委托人和受托人之间“基于信任”达成的委托关系。凡是在公募基金行业工作过的人都知道，行业研究员和基金经理论专业能力远超口若悬河的股评十八条街，但是这几年却在“盲目追求规模”的指挥棒下，引入了
1692884445# #江盐集团，竟然有这个股票名字？。。我只知道克明面业，因为我最近一直通过股市在品尝他们家的产品……二哈二哈二哈
1697613903# #今天楼上装修吵得很，为了让“小公主”睡好觉吃完午饭下午就把小公主送到我妈家里去睡午觉，留阿姨在家打扫，说好等到小公主睡醒了让我爸再把阿姨接到家里来烧饭。。结果早上满口答应的“普信男老爹”，到点来了一句“我在外面玩赶不回来”，就尥蹶子爽约了。。所以我和你们说，我对“普信男”那副嘴脸太熟
1700122451# #基金超话。俗话说“股市行情在绝望中产生”..........。。相对而言我不太明白的是，为啥从市场表现来看已经绝望了两年了。。但行情还没产生呢汗汗汗
1697214429# #基金超话。一支穿云箭……
1699334841# #吃完饭要干活了，我下午又要作妖了，这次作的方向肯定想不到........
1695112266# #基金超话。好消息好消息，过去一个月直播中送出的华安基金牛冲冲&amp;牛轰轰玩偶今日已经发货，这周大家会收到货了。。经过盘点目前库存应该还有四五十对，想要的小伙伴记得明天晚上7点来取……
1703123394# #国际米兰。我这国际米兰相关周边春夏秋冬款都不重样，把公司的大眼睛女神研究员都看呆了，有一次忍不住问我：“你到底有多少国际米兰的东西？”。。哎呀，貌似无穷无尽哪，比如去年4月份关在家里的时候，一张办公桌上就有7个国际米兰周边的镜头偷笑偷笑偷笑。。不过我现在不太好意思说我是“国际米
1699583654# #阿三还是比我们强一点偷笑偷笑。。别让我们做首陀罗就行笑cry笑cry笑cry
1692250172# #基金超话。下一次的发车品种，一定会让你很意外……
1702367171# #骑行超话。穿得有点浮夸还好我有1米8。。大家见谅嘻嘻嘻嘻嘻嘻
1700225986# #麻烦那些成天敲着键盘说国足“缺乏拼搏精神”的嘴炮省省电费吧，玩过竞技体育吗？我打篮球打不过詹姆斯，骑自行车骑不过温格高是因为我缺乏拼搏精神吗？是因为我能力不行好不好，你不上清华是因为你不喜欢清华吗？
1700792315# #基金超话。每天按照建行银行卡40万的限额冲啊偷笑偷笑偷笑。。明天再充20万，这100发子弹就到位了……
1697368037# #基金超话。周五885001万得偏股混合型基金指数跌幅0.9%，收盘价8999.03点，接近年内新低，年初至今跌幅10.28%。。2023年，对基金而言大概率是连续第二年的熊市了……苦涩苦涩苦涩。。万得偏股基金指数从未连续两年下跌的记录，即将被打破……。。刻舟求剑太用力，把舟刻沉了……二哈二哈二哈
1699586097# #这句话一看就是我风格的“劝退令”偷笑偷笑偷笑
1701248183# #偷笑偷笑我是菜腿老杨
1697418001# #基金超话。【美债高位下，只能耐心等待——“股债性价比”每周跟踪20231016】。（图1）北向资金在节后第一个交易周继续流出131亿元，致使A股继续承压；从风格因子（图2）来看，虽然成长股相对价值股已经连续两周跑赢，但是在成长股主旗手北向和公募持续面临失血的情况下，成长风格相对价值风格的超
1702648562# #基金超话。远川投资评论：规模是公募基金的命门，扩大规模最粗暴的方法是卖投资者此时此刻以为自己最想要的产品。。深刻啊！。。所以为啥20年-21年期间“行业主题基金”大行其道？因为大部分人都是用赌徒心态+高估自己的方式来投资的，而高锐度高波动性的行业主题基金，完全迎合了这部分人群的需求。。盈
1696341550# #笑cry感觉国内网站为中国男足加油的比例也不超过9成
1701772257# #大跌原因找到了，原来今天是招商策略会允悲允悲允悲
1699337839# #算了，发现可调的空间不大，不折腾了
1699859135# #基金超话。万得微盘股指数，不服不行。。感谢帮我找到金元顺安元启平替的小伙伴……
1692343891# #基金超话。现在的年轻人是多不想生娃啊？。。今天公司familyday，HR特别嘱咐我把小教主带上，结果来公司一看就这么一个娃孤零零地在前台吃瓜，50、60号人竟然没一个带娃过来的，不过好像大部分小伙伴也确实家里没娃，往好了说只能讲公司人力资源质量很高……。。真想劝年轻人“冲动一点”，其实娃挺好
1696426693# #higherforlonger.....
1695370593# #基金超话。其实，今天发车有点无奈，我最想发的品种一个被暂停申购了，一个没上代销清单。。头疼...........
1701065284# #那必须是全仓杠杆梭哈大A啊
1702126765# #骑行超话。感觉我的自行车还没到家，就要开始准备封车了允悲允悲允悲
1693491515# #好啦，承认🇯🇵篮球、足球都比我们强就可以了，上届世界杯我们主场都没赢委内瑞拉，人家🇯🇵男篮在缺了八村壘的情况下赢了，不服不行……
1696995675# #刚知道下周广交会，我还以为广交会一年只办一次。。我记得春天的时候办过啊允悲允悲允悲。。结果公司还在广交会展馆隔壁，撞得那叫一个结实……
1690449963# #NBA超话。商业推广厉害的职业体育联盟就是厉害，其中电视转播权尤为重要。。哎，意甲真没希望……
1697349556# #一二线城市房东表示，最近房租都开始降了。一个上市公司EPS持续降的话，PE还怎么提升？
1695187055# #“基金的拐”是怎么卖给你的呢？懂了吧基金超话寻找闪光的你微博vlog大赛
1701081885# #基金超话。别看ETF规模涨得快，其实也是清盘大户……
1699855270# #基金超话。前几天听了安信医药健康池陈森总的路演，越听越觉得有道理，血脉喷张都想买医药基金了。。这就是我为啥不怎么听行业基金路演的道理，因为每次听都觉得很低估很有投资机会，听着听着就全买进来，然后手上亏钱的基金就越来越多了笑cry笑cry笑cry。。不过呢这个位置医药我不看空（虽然我
1692026757# #能不能将那些宣传“炒股能发财”的机构给举报了？吃瓜
1694412254# #基金超话。又搞美女解读债市，这招已经被Wind玩坏了啊.......二哈二哈
1702137906# #骑行超话。甲流之后首次训练，为下周复出做准备了。。我这健身自行车，到明年国庆节也应该能骑满2000公里了吧嘻嘻嘻嘻嘻嘻
1703063436# #啊哈，圈内的一个八卦打听好了，好奇的心沉下来了..........
1697422689# #TTD，DML
1702912500# #抽到马德里竞技对双方来说都是一个“不差”的结果，咱们37开吧，实力上还是人家大马竞比我们小国际强很多，少输当赢赛前攒人品吧.......今年我们主要的任务还是要拿意甲冠军
1693129519# #基金超话。相比于降低印花税本身，周末这个出炉的时点更耐人寻味。。隐约感觉到，这一招之后如果市场还没啥表现，后续会有更大力度政策出台.........
1693641600# #这么长的一条红色腰线这是虹鳟鱼吧……
1697029644# #直播结束骑自行车回家罗……
1690706973# #啊哈没想到我在篱笆社区也有点影响力，上一次用篱笆还是08年年底装修房子的时候笑cry。。感谢老粉丝除了记得15年我讲乐视以外，还记得我5月份讲的“卖股买房”。。虽然一直有黑粉说我“宏观水平垃圾”，毕竟我也只知道那个时候应该买房，19年应该买基金而已，其他真的不怎么懂了……
1690962940# #呵呵高位接盘拿回扣？那你要不举两个例子吧张嘴就来
1694673509# #基金超话。最近组合里一直在买的黄金和红利，本想着是分（die）散（de）风（man）险（dian）。。一不小心都挣钱了，红利类基金最近确实大火。。但昨天直播的时候也说了，你现在把红利捧上天其实也是“近期偏见”。要知道在19年20年的时候，红利基金可是“🐶都嫌”的品种二哈二哈二哈
1701765428# #边吃面边学习，红利资产是大A避风港吗？理想生活季红利指数
